iter	Passed	Remaining
0	1	137
1	3	152
2	4	139
3	5	127
4	6	123
5	7	119
6	8	116
7	10	117
8	11	114
9	13	120
10	14	120
11	16	118
12	17	117
13	19	117
14	20	118
15	22	115
16	23	115
17	25	115
18	26	114
19	29	116
20	30	114
21	32	114
22	34	114
23	36	115
24	37	112
25	38	110
26	40	110
27	42	108
28	44	108
29	45	107
30	47	105
31	48	104
32	50	103
33	51	100
34	53	99
35	55	99
36	59	100
37	61	99
38	62	97
39	63	95
40	65	94
41	66	91
42	67	89
43	69	87
44	70	86
45	71	84
46	73	82
47	74	80
48	75	78
49	76	76
50	77	74
51	78	72
52	79	70
53	80	68
54	81	66
55	82	64
56	83	63
57	85	61
58	86	60
59	88	58
60	89	57
61	91	55
62	92	54
63	94	53
64	96	52
65	97	50
66	98	48
67	100	47
68	101	45
69	103	44
70	104	42
71	106	41
72	107	39
73	109	38
74	110	36
75	111	35
76	112	33
77	114	32
78	115	30
79	116	29
80	118	27
81	119	26
82	120	24
83	121	23
84	123	21
85	124	20
86	125	18
87	126	17
88	127	15
89	128	14
90	130	12
91	131	11
92	133	10
93	134	8
94	135	7
95	136	5
96	138	4
97	139	2
98	141	1
99	142	0
